,filename,title,author,task 1,task 2,task 3,github,stars
361,Lin_GPS-Net_Graph_Property_Sensing_Network_for_Scene_Graph_Generation_CVPR_2020_paper,GPS-Net: Graph Property Sensing Network for Scene Graph Generation,Xin Lin,graph-generation,scene-graph-generation,,https://github.com/taksau/GPS-Net,21
362,Wang_Orthogonal_Convolutional_Neural_Networks_CVPR_2020_paper,Orthogonal Convolutional Neural Networks,Jiayun Wang,speech-recognition,person-re-identification,,https://github.com/samaonline/Orthogonal-Convolutional-Neural-Networks,21
363,Yasarla_Syn2Real_Transfer_Learning_for_Image_Deraining_Using_Gaussian_Processes_CVPR_2020_paper,Syn2Real Transfer Learning for Image Deraining Using Gaussian Processes,Rajeev Yasarla,gaussian-processes,rain-removal,transfer-learning,https://github.com/rajeevyasarla/Syn2Real,21
364,Camgoz_Sign_Language_Transformers_Joint_End-to-End_Sign_Language_Recognition_and_Translation_CVPR_2020_paper,Sign Language Transformers: Joint End-to-End Sign Language Recognition and Translation,Necati Cihan Camgoz,machine-translation,sign-language-recognition,sign-language-translation,https://github.com/neccam/slt,21
365,Garnot_Satellite_Image_Time_Series_Classification_With_Pixel-Set_Encoders_and_Temporal_CVPR_2020_paper,Satellite Image Time Series Classification With Pixel-Set Encoders and Temporal Self-Attention,Vivien Sainte Fare Garnot,time-series,time-series-classification,,https://github.com/VSainteuf/psetae,21
366,Sun_Conditional_Gaussian_Distribution_Learning_for_Open_Set_Recognition_CVPR_2020_paper,Conditional Gaussian Distribution Learning for Open Set Recognition,Xin Sun,open-set-learning,,,https://github.com/BraveGump/CGDL-for-Open-Set-Recognition,21
367,Chen_Counterfactual_Samples_Synthesizing_for_Robust_Visual_Question_Answering_CVPR_2020_paper,Counterfactual Samples Synthesizing for Robust Visual Question Answering,Long Chen,question-answering,visual-question-answering,,https://github.com/yanxinzju/CSS-VQA,20
368,Abu_Hussein_Correction_Filter_for_Single_Image_Super-Resolution_Robustifying_Off-the-Shelf_Deep_Super-Resolvers_CVPR_2020_paper,Correction Filter for Single Image Super-Resolution: Robustifying Off-the-Shelf Deep Super-Resolvers,Shady Abu Hussein,image-super-resolution,super-resolution,,https://github.com/shadyabh/Correction-Filter,20
369,Liu_Flow2Stereo_Effective_Self-Supervised_Learning_of_Optical_Flow_and_Stereo_Matching_CVPR_2020_paper,Flow2Stereo: Effective Self-Supervised Learning of Optical Flow and Stereo Matching,Pengpeng Liu,optical-flow-estimation,self-supervised-learning,stereo-matching-1,https://github.com/ppliuboy/Flow2Stereo,20
370,Masi_Towards_Learning_Structure_via_Consensus_for_Face_Segmentation_and_Parsing_CVPR_2020_paper,Towards Learning Structure via Consensus for Face Segmentation and Parsing,Iacopo Masi,,,,https://github.com/isi-vista/structure_via_consensus,20
371,Wei_Combating_Noisy_Labels_by_Agreement_A_Joint_Training_Method_with_CVPR_2020_paper,Combating Noisy Labels by Agreement: A Joint Training Method with Co-Regularization,Hongxin Wei,,,,https://github.com/hongxin001/JoCoR,20
372,Wang_A_Model-Driven_Deep_Neural_Network_for_Single_Image_Rain_Removal_CVPR_2020_paper,A Model-Driven Deep Neural Network for Single Image Rain Removal,Hong Wang,dictionary-learning,rain-removal,single-image-deraining,https://github.com/hongwang01/RCDNet,20
373,Wang_Instance_Credibility_Inference_for_Few-Shot_Learning_CVPR_2020_paper,Instance Credibility Inference for Few-Shot Learning,Yikai Wang,data-augmentation,few-shot-learning,meta-learning,https://github.com/Yikai-Wang/ICI-FSL,20
374,Yang_Extreme_Relative_Pose_Network_Under_Hybrid_Representations_CVPR_2020_paper,Extreme Relative Pose Network Under Hybrid Representations,Zhenpei Yang,pose-estimation,,,https://github.com/SimingYan/Hybrid_Relative_Pose,20
375,Xie_MLCVNet_Multi-Level_Context_VoteNet_for_3D_Object_Detection_CVPR_2020_paper,MLCVNet: Multi-Level Context VoteNet for 3D Object Detection,Qian Xie,3d-object-detection,object-detection,,https://github.com/NUAAXQ/MLCVNet,20
376,Li_Symmetry_and_Group_in_Attribute-Object_Compositions_CVPR_2020_paper,Symmetry and Group in Attribute-Object Compositions,Yong-Lu Li,compositional-zero-shot-learning,zero-shot-learning,,https://github.com/DirtyHarryLYL/SymNet,20
377,Ouali_Semi-Supervised_Semantic_Segmentation_With_Cross-Consistency_Training_CVPR_2020_paper,Semi-Supervised Semantic Segmentation With Cross-Consistency Training,Yassine Ouali,semantic-segmentation,semi-supervised-semantic-segmentation,,https://github.com/yassouali/CCT,19
378,Hu_Learning_to_Segment_the_Tail_CVPR_2020_paper,Learning to Segment the Tail,Xinting Hu,image-classification,instance-segmentation,object-detection,https://github.com/JoyHuYY1412/LST_LVIS,19
379,Cai_Rethinking_Differentiable_Search_for_Mixed-Precision_Neural_Networks_CVPR_2020_paper,Rethinking Differentiable Search for Mixed-Precision Neural Networks,Zhaowei Cai,combinatorial-optimization,,,https://github.com/zhaoweicai/EdMIPS,18
380,Liu_Graph_Structured_Network_for_Image-Text_Matching_CVPR_2020_paper,Graph Structured Network for Image-Text Matching,Chunxiao Liu,text-matching,,,https://github.com/CrossmodalGroup/GSMN,18
381,Wang_Learning_Human-Object_Interaction_Detection_Using_Interaction_Points_CVPR_2020_paper,Learning Human-Object Interaction Detection Using Interaction Points,Tiancai Wang,action-detection,action-localization,spatio-temporal-action-localization,https://github.com/vaesl/IP-Net,17
382,Xue_Holistically-Attracted_Wireframe_Parsing_CVPR_2020_paper,Holistically-Attracted Wireframe Parsing,Nan Xue,line-segment-detection,,,https://github.com/cherubicXN/hawp,17
383,Dong_Benchmarking_Adversarial_Robustness_on_Image_Classification_CVPR_2020_paper,Benchmarking Adversarial Robustness on Image Classification,Yinpeng Dong,image-classification,person-re-identification,image-classification,https://github.com/thu-ml/realsafe,16
384,Atzmon_SAL_Sign_Agnostic_Learning_of_Shapes_From_Raw_Data_CVPR_2020_paper,SAL: Sign Agnostic Learning of Shapes From Raw Data,Matan Atzmon,,,,https://github.com/matanatz/SAL,16
385,Isobe_Video_Super-Resolution_With_Temporal_Group_Attention_CVPR_2020_paper,Video Super-Resolution With Temporal Group Attention,Takashi Isobe,super-resolution,video-super-resolution,,https://github.com/junpan19/VSR_TGA,16
386,Hou_Learning_to_Structure_an_Image_With_Few_Colors_CVPR_2020_paper,Learning to Structure an Image With Few Colors,Yunzhong Hou,image-compression,quantization,,https://github.com/hou-yz/color_distillation,16
387,Bertinetto_Making_Better_Mistakes_Leveraging_Class_Hierarchies_With_Deep_Networks_CVPR_2020_paper,Making Better Mistakes: Leveraging Class Hierarchies With Deep Networks,Luca Bertinetto,image-classification,,,https://github.com/fiveai/making-better-mistakes,16
388,Gao_AdversarialNAS_Adversarial_Neural_Architecture_Search_for_GANs_CVPR_2020_paper,AdversarialNAS: Adversarial Neural Architecture Search for GANs,Chen Gao,image-generation,architecture-search,,https://github.com/chengaopro/AdversarialNAS,16
389,Chen_Norm-Aware_Embedding_for_Efficient_Person_Search_CVPR_2020_paper,Norm-Aware Embedding for Efficient Person Search,Di Chen,human-detection,person-re-identification,person-search,https://github.com/DeanChan/NAE4PS,16
390,Wang_Attentive_Normalization_for_Conditional_Image_Generation_CVPR_2020_paper,Attentive Normalization for Conditional Image Generation,Yi Wang,gaze-estimation,image-to-image-translation,semantic-similarity,https://github.com/shepnerd/AttenNorm,15
391,Lin_Regularizing_Neural_Networks_via_Minimizing_Hyperspherical_Energy_CVPR_2020_paper,Regularizing Neural Networks via Minimizing Hyperspherical Energy,Rongmei Lin,,,,https://github.com/rmlin/CoMHE,15
392,Li_Face_X-Ray_for_More_General_Face_Forgery_Detection_CVPR_2020_paper,Face X-Ray for More General Face Forgery Detection,Lingzhi Li,deepfake-detection,face-swapping,,https://github.com/neverUseThisName/Face-X-Ray,15
393,Zhou_Interactive_Two-Stream_Decoder_for_Accurate_and_Fast_Saliency_Detection_CVPR_2020_paper,Interactive Two-Stream Decoder for Accurate and Fast Saliency Detection,Huajun Zhou,saliency-detection,,,https://github.com/moothes/ITSD-pytorch,15
394,Le_Deep_Homography_Estimation_for_Dynamic_Scenes_CVPR_2020_paper,Deep Homography Estimation for Dynamic Scenes,Hoang Le,homography-estimation,multi-task-learning,,https://github.com/lcmhoang/hmg-dynamics,15
395,Cheng_Skeleton-Based_Action_Recognition_With_Shift_Graph_Convolutional_Network_CVPR_2020_paper,Skeleton-Based Action Recognition With Shift Graph Convolutional Network,Ke Cheng,skeleton-based-action-recognition,,,https://github.com/kchengiva/Shift-GCN,15
396,Yang_Upgrading_Optical_Flow_to_3D_Scene_Flow_Through_Optical_Expansion_CVPR_2020_paper,Upgrading Optical Flow to 3D Scene Flow Through Optical Expansion,Gengshan Yang,depth-estimation,optical-flow-estimation,,https://github.com/gengshan-y/expansion,15
397,Choi_Hi-CMD_Hierarchical_Cross-Modality_Disentanglement_for_Visible-Infrared_Person_Re-Identification_CVPR_2020_paper,Hi-CMD: Hierarchical Cross-Modality Disentanglement for Visible-Infrared Person Re-Identification,Seokeon Choi,image-generation,person-re-identification,,https://github.com/bismex/HiCMD,15
398,Wang_What_Deep_CNNs_Benefit_From_Global_Covariance_Pooling_An_Optimization_CVPR_2020_paper,What Deep CNNs Benefit From Global Covariance Pooling: An Optimization Perspective,Qilong Wang,instance-segmentation,object-detection,semantic-segmentation,https://github.com/ZhangLi-CS/GCP_Optimization,15
399,Donati_Deep_Geometric_Functional_Maps_Robust_Feature_Learning_for_Shape_Correspondence_CVPR_2020_paper,Deep Geometric Functional Maps: Robust Feature Learning for Shape Correspondence,Nicolas Donati,,,,https://github.com/LIX-shape-analysis/GeomFmaps,15
400,Navaneet_From_Image_Collections_to_Point_Clouds_With_Self-Supervised_Shape_and_CVPR_2020_paper,From Image Collections to Point Clouds With Self-Supervised Shape and Pose Networks,K L Navaneet,3d-object-reconstruction,3d-object-reconstruction-from-a-single-image,object-reconstruction,https://github.com/val-iisc/ssl_3d_recon,14
401,Choi_Scene-Adaptive_Video_Frame_Interpolation_via_Meta-Learning_CVPR_2020_paper,Scene-Adaptive Video Frame Interpolation via Meta-Learning,Myungsub Choi,meta-learning,video-frame-interpolation,,https://github.com/myungsub/meta-interpolation,14
402,Zhang_Semantics-Guided_Neural_Networks_for_Efficient_Skeleton-Based_Human_Action_Recognition_CVPR_2020_paper,Semantics-Guided Neural Networks for Efficient Skeleton-Based Human Action Recognition,Pengfei Zhang,skeleton-based-action-recognition,action-recognition,,https://github.com/microsoft/SGN,14
403,Min_VOLDOR_Visual_Odometry_From_Log-Logistic_Dense_Optical_Flow_Residuals_CVPR_2020_paper,VOLDOR: Visual Odometry From Log-Logistic Dense Optical Flow Residuals,Zhixiang Min,optical-flow-estimation,visual-odometry,,https://github.com/htkseason/VOLDOR,14
404,Hu_Single-Stage_6D_Object_Pose_Estimation_CVPR_2020_paper,Single-Stage 6D Object Pose Estimation,Yinlin Hu,6d-pose-estimation,pose-estimation,pose-prediction,https://github.com/cvlab-epfl/single-stage-pose,14
405,He_MiLeNAS_Efficient_Neural_Architecture_Search_via_Mixed-Level_Reformulation_CVPR_2020_paper,MiLeNAS: Efficient Neural Architecture Search via Mixed-Level Reformulation,Chaoyang He,bilevel-optimization,architecture-search,,https://github.com/chaoyanghe/MiLeNAS,14
406,Bansal_SAM_The_Sensitivity_of_Attribution_Methods_to_Hyperparameters_CVPR_2020_paper,SAM: The Sensitivity of Attribution Methods to Hyperparameters,Naman Bansal,,,,https://github.com/anguyen8/sam,14
407,Zhao_Towards_Large_Yet_Imperceptible_Adversarial_Image_Perturbations_With_Perceptual_Color_CVPR_2020_paper,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,Zhengyu Zhao,image-classification,,,https://github.com/ZhengyuZhao/PerC-Adversarial,14
408,Chang_Weakly-Supervised_Semantic_Segmentation_via_Sub-Category_Exploration_CVPR_2020_paper,Weakly-Supervised Semantic Segmentation via Sub-Category Exploration,Yu-Ting Chang,semantic-segmentation,weakly-supervised-semantic-segmentation,,https://github.com/Juliachang/SC-CAM,14
409,Kearney_RGBD-Dog_Predicting_Canine_Pose_from_RGBD_Sensors_CVPR_2020_paper,RGBD-Dog: Predicting Canine Pose from RGBD Sensors,Sinead Kearney,motion-capture,pose-estimation,pose-prediction,https://github.com/CAMERA-Bath/RGBD-Dog,14
410,Cheng_Deep_Stereo_Using_Adaptive_Thin_Volume_Representation_With_Uncertainty_Awareness_CVPR_2020_paper,Deep Stereo Using Adaptive Thin Volume Representation With Uncertainty Awareness,Shuo Cheng,3d-reconstruction,,,https://github.com/touristCheng/UCSNet,13
411,Zhao_On_Isometry_Robustness_of_Deep_3D_Point_Cloud_Models_Under_CVPR_2020_paper,On Isometry Robustness of Deep 3D Point Cloud Models Under Adversarial Attacks,Yue Zhao,,,,https://github.com/skywalker6174/3d-isometry-robust,13
412,Arar_Unsupervised_Multi-Modal_Image_Registration_via_Geometry_Preserving_Image-to-Image_Translation_CVPR_2020_paper,Unsupervised Multi-Modal Image Registration via Geometry Preserving Image-to-Image Translation,Moab Arar,autonomous-driving,image-registration,image-to-image-translation,https://github.com/moabarar/nemar,13
413,Fu_JL-DCF_Joint_Learning_and_Densely-Cooperative_Fusion_Framework_for_RGB-D_Salient_CVPR_2020_paper,JL-DCF: Joint Learning and Densely-Cooperative Fusion Framework for RGB-D Salient Object Detection,Keren Fu,object-detection,salient-object-detection,,https://github.com/kerenfu/JLDCF,13
414,Bertasius_Classifying_Segmenting_and_Tracking_Object_Instances_in_Video_with_Mask_CVPR_2020_paper,"Classifying, Segmenting, and Tracking Object Instances in Video with Mask Propagation",Gedas Bertasius,instance-segmentation,semantic-segmentation,,https://github.com/jiawen9611/Awesome-Video-Instance-Segmentation,13
415,Badki_Meshlet_Priors_for_3D_Mesh_Reconstruction_CVPR_2020_paper,Meshlet Priors for 3D Mesh Reconstruction,Abhishek Badki,,,,https://github.com/NVlabs/meshlets,13
416,Liu_3D_Part_Guided_Image_Editing_for_Fine-Grained_Object_Understanding_CVPR_2020_paper,3D Part Guided Image Editing for Fine-Grained Object Understanding,Zongdai Liu,autonomous-driving,instance-segmentation,semantic-segmentation,https://github.com/zongdai/EditingForDNN,12
417,Zeng_3D_Human_Mesh_Regression_With_Dense_Correspondence_CVPR_2020_paper,3D Human Mesh Regression With Dense Correspondence,Wang Zeng,,,,https://github.com/zengwang430521/DecoMR,12
418,Le_Guen_Disentangling_Physical_Dynamics_From_Unknown_Factors_for_Unsupervised_Video_Prediction_CVPR_2020_paper,Disentangling Physical Dynamics From Unknown Factors for Unsupervised Video Prediction,Vincent Le Guen,video-prediction,,,https://github.com/vincent-leguen/PhyDNet,12
419,Peng_IDA-3D_Instance-Depth-Aware_3D_Object_Detection_From_Stereo_Vision_for_Autonomous_CVPR_2020_paper,IDA-3D: Instance-Depth-Aware 3D Object Detection From Stereo Vision for Autonomous Driving,Wanli Peng,3d-object-detection,autonomous-driving,depth-estimation,https://github.com/swords123/IDA-3D,12
420,Min_Domain-Aware_Visual_Bias_Eliminating_for_Generalized_Zero-Shot_Learning_CVPR_2020_paper,Domain-Aware Visual Bias Eliminating for Generalized Zero-Shot Learning,Shaobo Min,zero-shot-learning,,,https://github.com/mboboGO/DVBE,12
421,Liu_Attention_Mechanism_Exploits_Temporal_Contexts_Real-Time_3D_Human_Pose_Reconstruction_CVPR_2020_paper,Attention Mechanism Exploits Temporal Contexts: Real-Time 3D Human Pose Reconstruction,Ruixu Liu,3d-human-pose-estimation,pose-estimation,,https://github.com/lrxjason/Attention3DHumanPose,12
422,Jiang_Multi-Scale_Progressive_Fusion_Network_for_Single_Image_Deraining_CVPR_2020_paper,Multi-Scale Progressive Fusion Network for Single Image Deraining,Kui Jiang,rain-removal,single-image-deraining,,https://github.com/kuihua/MSPFN,12
423,Jin_Light_Field_Spatial_Super-Resolution_via_Deep_Combinatorial_Geometry_Embedding_and_CVPR_2020_paper,Light Field Spatial Super-Resolution via Deep Combinatorial Geometry Embedding and Structural Consistency Regularization,Jing Jin,super-resolution,,,https://github.com/jingjin25/LFSSR-ATO,12
424,Lu_MUXConv_Information_Multiplexing_in_Convolutional_Neural_Networks_CVPR_2020_paper,MUXConv: Information Multiplexing in Convolutional Neural Networks,Zhichao Lu,image-classification,architecture-search,object-detection,https://github.com/human-analysis/MUXConv,12
425,Hernandez-Juarez_A_Multi-Hypothesis_Approach_to_Color_Constancy_CVPR_2020_paper,A Multi-Hypothesis Approach to Color Constancy,Daniel Hernandez-Juarez,color-constancy,,,https://github.com/huawei-noah/multi_hyp_cc,12
426,Uzkent_Learning_When_and_Where_to_Zoom_With_Deep_Reinforcement_Learning_CVPR_2020_paper,Learning When and Where to Zoom With Deep Reinforcement Learning,Burak Uzkent,object-detection,region-proposal,,https://github.com/ermongroup/PatchDrop,12
427,Chen_3D_Sketch-Aware_Semantic_Scene_Completion_via_Semi-Supervised_Structure_Prior_CVPR_2020_paper,3D Sketch-Aware Semantic Scene Completion via Semi-Supervised Structure Prior,Xiaokang Chen,,,,https://github.com/charlesCXK/3D-SketchAware-SSC,12
428,Prakash_Exploring_Data_Aggregation_in_Policy_Learning_for_Vision-Based_Urban_Autonomous_CVPR_2020_paper,Exploring Data Aggregation in Policy Learning for Vision-Based Urban Autonomous Driving,Aditya Prakash,imitation-learning,,,https://github.com/autonomousvision/data_aggregation,12
